idx,Option,Filing_Date,Trade_Date,Ticker,Company_Name,Insider_Name,Title,Trade_Type,Price,Qty,Owned,ΔOwn,Value,2w,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1yr,2yr,2w%,1m%,2m%,3m%,4m%,5m%,6m%,7m%,8m%,9m%,10m%,11m%,1yr%,2yr%,active,done,skip,source,exchange
184,False,2015-11-12,2015-11-10,SYRX,Sysorex Global Holdings Corp.,Harris Kevin Roy,CFO,P - Purchase,0.0,7000.0,10000.0,233.0,5122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
181,False,2015-11-12,2015-11-12,TRXC,Transenterix Inc.,Slattery Joseph P,"EVP, CFO",P - Purchase,0.0,15000.0,135087.0,12.0,41550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
183,False,2015-11-12,2015-11-12,ALR,Alere Inc.,Hinrichs James F.,"EVP, CFO",P - Purchase,34.3,10000.0,30000.0,50.0,399700.0,33.7,38.0,30.9,24.9,23.3,22.0,24.9,20.4,25.4,23.9,20.8,24.0,26.0,15.0,-1.75,10.79,-9.91,-27.41,-32.07,-35.86,-27.41,-40.52,-25.95,-30.32,-39.36,-30.03,-24.2,-56.27,False,True,True,YF,
180,False,2015-11-12,2015-11-12,PDVW,"Pdvwireless, Inc.",Gray Timothy,CFO,P - Purchase,0.0,250.0,1222.0,26.0,6507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
186,False,2015-11-12,2015-11-11,ZINC,Horsehead Holding Corp,Scherich Robert D,"VP, CFO",P - Purchase,0.0,10000.0,147100.0,7.0,24100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
187,False,2015-11-12,2015-11-11,ENDP,Endo International Plc,Upadhyay Suketu,"EVP, CFO",P - Purchase,57.4,4450.0,84936.0,6.0,250856.0,59.56,62.6,59.76,55.61,50.47,29.28,27.03,17.52,17.71,17.35,19.9,20.05,15.3,6.37,3.76,9.06,4.11,-3.12,-12.07,-48.99,-52.91,-69.48,-69.15,-69.77,-65.33,-65.07,-73.34,-88.9,True,True,True,YF,NASDAQ
185,False,2015-11-12,2015-11-11,FTAI,Fortress Transportation & Infrastructure Investors LLC,Atkeson Jonathan,"CFO, COO",P - Purchase,6.907,5000.0,78931.0,7.0,59420.0,,6.9,6.67,5.64,5.55,6.24,6.1,,6.12,6.16,7.99,7.98,7.97,12.44,,-0.1,-3.43,-18.34,-19.65,-9.66,-11.68,,-11.39,-10.82,15.68,15.53,15.39,80.11,True,True,True,YF,NYSE
191,False,2015-11-10,2015-11-06,ACW,Accuride Corp,Risch Gregory Alan,"SVP, CFO",P - Purchase,0.0,2500.0,29847.0,9.0,6466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
190,False,2015-11-10,2015-11-10,AES,Aes Corp,O'Flynn Thomas M.,"EVP, CFO",P - Purchase,7.983,20000.0,218890.0,10.0,201600.0,7.75,7.42,7.57,,7.84,9.42,9.06,8.9,10.04,10.35,10.12,10.15,9.59,9.59,-2.92,-7.05,-5.17,,-1.79,18.0,13.49,11.49,25.77,29.65,26.77,27.15,20.13,20.13,False,True,True,YF,
189,False,2015-11-10,2015-11-09,FCPT,"Four Corners Property Trust, Inc.",Morgan Gerald R,CFO,P - Purchase,9.602,14600.0,14600.0,New,297210.0,9.32,10.42,11.56,12.19,12.53,13.72,13.85,14.62,,16.38,16.96,15.93,15.94,20.65,-2.94,8.52,20.39,26.95,30.49,42.89,44.24,52.26,,70.59,76.63,65.9,66.01,115.06,True,True,True,YF,NYSE
192,False,2015-11-10,2015-11-09,RLOG,"Rand Logistics, Inc.",Hiltwein Mark S,CFO,P - Purchase,0.0,5000.0,20000.0,33.0,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
193,False,2015-11-09,2015-11-09,HBIO,Harvard Bioscience Inc,Gagnon Robert E.,CFO,P - Purchase,3.13,3000.0,66221.0,5.0,9240.0,3.04,3.3,3.45,2.97,2.78,3.07,2.98,3.69,3.0,2.88,2.8,2.69,2.4,3.15,-2.88,5.43,10.22,-5.11,-11.18,-1.92,-4.79,17.89,-4.15,-7.99,-10.54,-14.06,-23.32,0.64,True,True,True,YF,NASDAQ
194,False,2015-11-09,2015-11-05,BOCH,Bank of Commerce Holdings,Sundquist James A,"EVP, CFO",P - Purchase,0.0,11180.0,42475.0,36.0,72666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
201,False,2015-11-06,2015-11-06,FEYE,"Fireeye, Inc.",Berry Michael J,"SVP, CFO",P - Purchase,0.0,13500.0,128500.0,12.0,306176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
196,False,2015-11-06,2015-11-06,FCN,Fti Consulting Inc,Johnson David M /ct,CFO,P - Purchase,35.39,15000.0,44132.0,51.0,539248.0,36.49,38.43,34.99,31.73,34.75,34.04,35.0,41.91,42.07,44.5,44.79,43.56,38.0,42.5,3.11,8.59,-1.13,-10.34,-1.81,-3.81,-1.1,18.42,18.88,25.74,26.56,23.09,7.37,20.09,True,True,True,YF,NYSE
202,False,2015-11-06,2015-11-06,CBFV,"Cb Financial Services, Inc.",Lemley Kevin D,"EVP, CFO",P - Purchase,17.061,1000.0,4955.0,25.0,21600.0,17.24,17.34,18.13,16.63,15.89,16.02,15.7,16.82,17.9,17.26,17.89,18.77,19.11,,1.05,1.64,6.27,-2.53,-6.86,-6.1,-7.98,-1.41,4.92,1.17,4.86,10.02,12.01,,True,True,True,YF,NASDAQ
200,False,2015-11-06,2015-10-27,MPSX,Multi Packaging Solutions International Ltd,Hogan William H.,"CFO, EVP",P - Purchase,0.0,14000.0,14000.0,New,182000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
199,True,2015-11-06,2015-10-30,WMTN,"Westmountain Gold, Inc.",Creamer James W III,CFO,P - Purchase,45.0,50000.0,100313.0,99.0,5000.0,30.0,35.0,39.0,20.5,38.0,45.0,70.0,50.0,40.0,45.5,50.0,35.0,25.0,2.0,-33.33,-22.22,-13.33,-54.44,-15.56,0.0,55.56,11.11,-11.11,1.11,11.11,-22.22,-44.44,-95.56,False,True,True,YF,
203,False,2015-11-06,2015-11-04,BMTC,Bryn Mawr Bank Corp,Harrington Michael W,"CFO, Treasurer",P - Purchase,0.0,1000.0,7000.0,17.0,29960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
197,False,2015-11-06,2015-11-04,BCBP,Bcb Bancorp Inc,Keating Thomas,CFO,P - Purchase,7.583,5000.0,6500.0,333.0,50000.0,7.68,8.44,7.86,7.8,7.62,7.65,7.62,7.77,7.94,8.13,8.38,8.66,8.75,10.32,1.28,11.3,3.65,2.86,0.49,0.88,0.49,2.47,4.71,7.21,10.51,14.2,15.39,36.09,True,True,True,YF,NASDAQ
198,False,2015-11-06,2015-11-04,GNC,"Gnc Holdings, Inc.",Tolivar Tricia K.,CFO,P - Purchase,0.0,760.0,16189.0,5.0,25133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
195,True,2015-11-06,2015-11-04,MTBC,"Medical Transcription Billing, Corp",Korn Bill,CFO,P - Purchase,1.689,800.0,17467.0,5.0,20000.0,1.6,1.35,1.17,0.95,0.86,1.17,0.93,0.93,0.89,1.07,1.11,0.87,0.88,2.75,-5.27,-20.07,-30.73,-43.75,-49.08,-30.73,-44.94,-44.94,-47.31,-36.65,-34.28,-48.49,-47.9,62.82,False,True,True,YF,
205,True,2015-11-05,2015-11-03,JYHW,"Jayhawk Energy, Inc.",Mahoney Scott,"Interim Pres, CEO, CFO",P - Purchase,0.0,39645872.0,118874159.0,50.0,198229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
204,False,2015-11-05,2015-11-03,KERX,Keryx Biopharmaceuticals Inc,Holmes Scott A,CFO,P - Purchase,5.36,5000.0,59742.0,9.0,26629.0,5.04,5.61,5.32,3.29,3.65,4.64,5.15,5.87,7.33,7.43,4.53,5.19,4.51,6.09,-5.97,4.66,-0.75,-38.62,-31.9,-13.43,-3.92,9.51,36.75,38.62,-15.49,-3.17,-15.86,13.62,False,True,True,YF,
206,False,2015-11-05,2015-11-04,WCSI,"Wsi Industries, Inc.",Sheely Paul D,CFO,P - Purchase,0.0,2500.0,16701.0,18.0,10750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
208,False,2015-11-04,2015-11-04,SMSI,Smith Micro Software Inc,Yasbek Steven,"VP, CFO",P - Purchase,3.36,40000.0,350487.0,13.0,33982.0,3.16,3.16,2.88,2.4,2.4,2.6,2.6,2.8,2.44,3.04,2.46,2.36,1.52,1.58,-5.95,-5.95,-14.29,-28.57,-28.57,-22.62,-22.62,-16.67,-27.38,-9.52,-26.79,-29.76,-54.76,-52.98,True,True,True,YF,NASDAQ
207,True,2015-11-04,2015-11-02,PLXS,Plexus Corp,Jermain Patrick John,"SVP, CFO",P - Purchase,36.18,1000.0,6116.0,20.0,35330.0,35.66,38.0,35.94,34.37,36.79,38.39,41.97,44.03,44.05,44.87,46.52,46.87,45.41,62.05,-1.44,5.03,-0.66,-5.0,1.69,6.11,16.0,21.7,21.75,24.02,28.58,29.55,25.51,71.5,True,True,True,YF,NASDAQ
209,False,2015-11-03,2015-11-03,DGI,"Digitalglobe, Inc.",Ferrera Gary W,"EVP, CFO",P - Purchase,0.0,4000.0,44722.0,10.0,65520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
210,False,2015-11-02,2015-11-02,USAP,Universal Stainless & Alloy Products Inc,Wilkin Ross C,"VP Finance, CFO",P - Purchase,8.71,1000.0,1000.0,New,8750.0,10.81,10.25,8.87,7.04,8.18,9.4,10.9,11.45,11.02,10.92,10.72,10.0,10.43,20.5,24.11,17.68,1.84,-19.17,-6.08,7.92,25.14,31.46,26.52,25.37,23.08,14.81,19.75,135.36,True,True,True,YF,NASDAQ
211,False,2015-11-02,2015-10-30,GNMK,"Genmark Diagnostics, Inc.",Mendel Scott,CFO,P - Purchase,0.0,10000.0,85586.0,13.0,64700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
212,False,2015-10-30,2015-10-30,PACW,Pacwest Bancorp,Rusnak Patrick J,"EVP, CFO",P - Purchase,34.267,2400.0,51650.0,5.0,107400.0,35.28,33.32,33.04,29.26,25.2,26.92,28.38,29.19,30.99,29.09,32.1,32.81,33.31,37.47,2.96,-2.76,-3.58,-14.61,-26.46,-21.44,-17.18,-14.82,-9.56,-15.11,-6.32,-4.25,-2.79,9.35,True,True,True,YF,NASDAQ
213,False,2015-10-28,2015-10-26,ATU,Actuant Corp,Lampereur Andrew,EVP - CFO,P - Purchase,0.0,24900.0,315911.0,9.0,541542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
214,False,2015-10-27,2015-08-17,RCGP,"Radiant Creations Group, Inc.",Alexander Gary D.,"CFO, Secretary, 10%",P - Purchase,0.0,500000.0,1760000.0,40.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
215,True,2015-10-26,2015-10-22,LMFA,"Lm Funding America, Inc.",Weclew Stephen,CFO,P - Purchase,455.5,1000.0,1000.0,New,10000.0,447.55,444.5,424.5,435.0,413.0,418.5,415.0,396.0,446.0,392.75,400.5,330.0,264.0,178.0,-1.75,-2.41,-6.81,-4.5,-9.33,-8.12,-8.89,-13.06,-2.09,-13.78,-12.07,-27.55,-42.04,-60.92,True,True,True,YF,NASDAQ
216,True,2015-10-23,2015-10-23,ACAT,Arctic Cat Inc,Eperjesy Christopher J,CFO,P - Purchase,0.0,4000.0,15591.0,35.0,72204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
218,False,2015-10-22,2015-10-21,PACW,Pacwest Bancorp,Rusnak Patrick J,"EVP, CFO",P - Purchase,32.135,2400.0,49250.0,5.0,103416.0,33.79,,35.27,31.66,27.56,25.12,28.1,30.6,31.66,30.33,31.67,32.25,33.56,35.71,5.15,,9.76,-1.48,-14.24,-21.83,-12.56,-4.78,-1.48,-5.62,-1.45,0.36,4.43,11.12,True,True,True,YF,NASDAQ
217,False,2015-10-22,2015-10-20,AFCO,American Farmland Co,Lewis Geoffrey Manfred,"CFO, Treasurer",P - Purchase,0.0,8500.0,8500.0,New,65420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
219,False,2015-10-21,2015-10-20,SUME,Summer Energy Holdings Inc,George Jaleea Pyle,"CFO, Secretary",P - Purchase,0.0,2300.0,7350.0,46.0,3099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
223,False,2015-10-19,2015-10-19,PACW,Pacwest Bancorp,Rusnak Patrick J,"EVP, CFO",P - Purchase,31.763,2400.0,46850.0,5.0,101976.0,33.79,,35.27,31.66,27.56,25.12,28.1,30.6,31.66,30.33,31.67,32.25,33.56,35.71,6.38,,11.04,-0.32,-13.23,-20.91,-11.53,-3.66,-0.32,-4.51,-0.29,1.53,5.66,12.43,True,True,True,YF,NASDAQ
222,False,2015-10-19,2015-10-16,RELL,Richardson Electronics Ltd,Ben Robert J,"EVP, CFO, Corp. Secretary",P - Purchase,4.643,2500.0,2500.0,New,14799.0,4.67,4.63,4.24,4.45,4.07,3.97,4.13,4.15,4.2,4.29,4.73,5.09,5.44,4.74,0.58,-0.28,-8.68,-4.16,-12.34,-14.49,-11.05,-10.62,-9.54,-7.6,1.87,9.63,17.17,2.09,True,True,True,YF,NASDAQ
224,False,2015-10-19,2015-10-16,LAYN,Layne Christensen Co,Anderson J Michael,"CFO, SVP",P - Purchase,6.74,4000.0,4000.0,New,28400.0,6.34,5.96,4.75,4.96,5.25,6.5,7.14,8.38,6.93,8.54,9.35,8.23,8.31,13.03,-5.93,-11.57,-29.53,-26.41,-22.11,-3.56,5.93,24.33,2.82,26.71,38.72,22.11,23.29,93.32,False,True,True,YF,
220,False,2015-10-19,2015-10-15,PMTS,Cpi Card Group Inc.,Brush David,CFO,P - Purchase,58.118,30000.0,177664.0,20.0,300000.0,51.52,50.34,47.82,49.31,36.62,37.04,37.68,37.06,,21.12,22.5,23.97,29.0,4.8,-11.35,-13.38,-17.72,-15.16,-36.99,-36.27,-35.17,-36.23,,-63.66,-61.29,-58.76,-50.1,-91.74,True,True,True,YF,NASDAQ
221,False,2015-10-19,2015-10-15,CORVF,Oculus Visiontech Inc.,Drescher Anton J,CFO (CFO),P - Purchase,0.0,6700000.0,8704540.0,334.0,469000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
226,False,2015-10-14,2015-10-13,TCS,"Container Store Group, Inc.",Taylor Jodi,CFO,P - Purchase,11.255,5000.0,33629.0,17.0,62495.0,10.87,11.55,9.47,7.52,4.03,5.66,5.83,6.0,4.64,4.99,5.13,4.94,4.94,3.94,-3.42,2.62,-15.86,-33.19,-64.19,-49.71,-48.2,-46.69,-58.77,-55.66,-54.42,-56.11,-56.11,-64.99,False,True,True,YF,
229,False,2015-10-13,2015-10-08,ABTX,"Allegiance Bancshares, Inc.",Lehman Laurence L III,"EVP, CFO",P - Purchase,21.532,2000.0,4000.0,100.0,42000.0,21.59,22.54,24.07,22.47,18.3,17.18,18.66,21.41,24.0,22.62,24.66,25.51,26.72,36.29,0.27,4.68,11.79,4.36,-15.01,-20.21,-13.34,-0.57,11.46,5.05,14.53,18.47,24.09,68.54,True,True,True,YF,NASDAQ
227,True,2015-10-13,2015-10-08,JYHW,"Jayhawk Energy, Inc.",Mahoney Scott,"Interim Pres, CEO, CFO",P - Purchase,0.0,94333678.0,118874159.0,384.0,471668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
228,False,2015-10-13,2015-09-04,NBIO,Nascent Biotech Inc.,Holden Lowell Thomas,CFO,P - Purchase,0.25,617346.0,717346.0,617.0,895152.0,0.21,0.21,0.2,0.18,0.17,0.25,0.3,0.65,0.4,0.69,0.32,0.3,0.4,0.25,-16.0,-16.0,-20.0,-28.0,-32.0,0.0,20.0,160.0,60.0,176.0,28.0,20.0,60.0,0.0,False,True,True,YF,
230,False,2015-10-09,2015-10-01,SBES,"South Beach Spirits, Inc.",Prince Vincent,"CFO, 10%",P - Purchase,0.24,25000000.0,25000000.0,New,2500.0,0.24,0.24,0.24,0.24,0.24,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.5,-91.67,0.0,-95.83,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
231,False,2015-10-08,2015-08-12,HZN,Horizon Global Corp,Rice David G.,CFO,P - Purchase,9.26,6800.0,20469.0,50.0,75004.0,9.21,8.8,8.95,10.57,9.18,9.03,12.11,12.37,11.68,11.4,12.97,18.15,20.0,17.61,-0.54,-4.97,-3.35,14.15,-0.86,-2.48,30.78,33.59,26.13,23.11,40.06,96.0,115.98,90.17,True,True,True,YF,NYSE
232,True,2015-10-08,2015-10-06,EDGE,"Edge Therapeutics, Inc.",Einhorn Andrew J.,CFO,P - Purchase,0.0,45000.0,125248.0,56.0,495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
233,False,2015-10-07,2015-10-05,OVAS,"Ovascience, Inc.",Young Jeffrey E,CFO,P - Purchase,0.0,3450.0,3750.0,999.0,36915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
234,False,2015-10-05,2015-10-02,AZZ,Azz Inc,Fehlman Paul Wesley,"SVP, CFO",P - Purchase,44.496,1500.0,3500.0,75.0,70950.0,50.03,49.65,52.97,49.7,45.35,45.66,49.81,52.06,51.73,54.19,55.51,57.0,61.41,46.46,12.44,11.58,19.04,11.7,1.92,2.62,11.94,17.0,16.26,21.79,24.75,28.1,38.01,4.41,True,True,True,YF,NYSE
235,False,2015-10-05,2015-10-05,CPXX,Celator Pharmaceuticals Inc,Powell Fred M,"VP, CFO",P - Purchase,0.0,13700.0,31458.0,77.0,24386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
236,False,2015-10-01,2015-10-01,WVVI,Willamette Valley Vineyards Inc,Goward Richard F. Jr.,CFO,P - Purchase,6.75,1205.0,1205.0,New,5001.0,6.75,7.15,7.14,7.2,7.01,6.94,6.96,6.97,7.76,7.94,8.27,8.09,8.0,7.87,0.0,5.93,5.78,6.67,3.85,2.81,3.11,3.26,14.96,17.63,22.52,19.85,18.52,16.59,True,True,True,YF,NASDAQ
238,False,2015-10-01,2015-09-29,AXDX,"Accelerate Diagnostics, Inc",Reichling Steven,CFO,P - Purchase,16.37,600.0,700.0,600.0,9138.0,16.95,16.86,16.56,21.66,17.82,12.38,13.12,13.49,13.34,16.06,20.6,22.7,27.83,22.5,3.54,2.99,1.16,32.32,8.86,-24.37,-19.85,-17.59,-18.51,-1.89,25.84,38.67,70.01,37.45,True,True,True,YF,NASDAQ
237,False,2015-10-01,2015-09-30,PPSI,"Pioneer Power Solutions, Inc.",Minkow Andrew,CFO,P - Purchase,2.483,1000.0,5568.0,22.0,4000.0,2.72,2.77,2.66,2.68,2.56,2.24,2.62,3.61,3.62,3.55,4.1,3.79,3.5,5.1,9.54,11.56,7.13,7.93,3.1,-9.79,5.52,45.39,45.79,42.97,65.12,52.64,40.96,105.4,True,True,True,YF,NASDAQ
240,False,2015-09-29,2015-09-18,VUZI,Vuzix Corp,Russell Grant,"CFO, EVP",P - Purchase,4.86,3500.0,5000.0,233.0,16750.0,5.36,4.95,6.16,6.45,5.02,5.77,5.52,4.72,5.75,6.93,8.42,7.32,9.08,6.0,10.29,1.85,26.75,32.72,3.29,18.72,13.58,-2.88,18.31,42.59,73.25,50.62,86.83,23.46,False,True,True,YF,
241,False,2015-09-29,2015-09-28,OOMA,Ooma Inc,Narula Ravi,CFO,P - Purchase,6.65,3000.0,63000.0,5.0,21300.0,7.9,8.14,6.19,7.01,6.49,6.35,5.87,7.01,7.87,7.85,8.64,8.25,9.08,9.6,18.8,22.41,-6.92,5.41,-2.41,-4.51,-11.73,5.41,18.35,18.05,29.92,24.06,36.54,44.36,False,True,True,YF,
243,False,2015-09-29,2015-09-28,LTS,Ladenburg Thalmann Financial Services Inc,Kaufman Brett,"SVP, CFO",P - Purchase,0.0,5000.0,65200.0,8.0,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
239,False,2015-09-29,2015-09-25,AGEN,Agenus Inc,Ballantyne Charles Evan,CFO,P - Purchase,4.57,10000.0,10000.0,New,50500.0,4.82,4.98,4.42,4.51,3.26,3.05,3.77,4.24,4.42,4.1,4.78,6.05,6.94,4.11,5.47,8.97,-3.28,-1.31,-28.67,-33.26,-17.51,-7.22,-3.28,-10.28,4.6,32.39,51.86,-10.07,False,True,True,YF,
242,False,2015-09-29,2015-09-24,PXD,Pioneer Natural Resources Co,Dealy Richard P,"EVP, CFO",P - Purchase,107.472,117786.0,200413.0,143.0,14116652.0,124.83,124.69,128.32,110.39,104.27,114.69,129.34,127.92,148.05,144.61,143.14,161.16,162.4,119.94,16.15,16.02,19.4,2.72,-2.98,6.72,20.35,19.03,37.76,34.56,33.19,49.96,51.11,11.6,True,True,True,YF,
244,False,2015-09-28,2015-09-24,IFT,"Emergent Capital, Inc.",O'Connell Rory,CFO,P - Purchase,0.0,5000.0,12500.0,67.0,25086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,YF,
245,False,2015-09-25,2015-09-24,BIOL,"Biolase, Inc",Dreyer David C,"SVP ,  CFO",P - Purchase,6.45,5000.0,20000.0,33.0,6000.0,4.85,4.75,4.9,3.75,4.25,4.0,5.9,6.9,5.85,6.1,5.1,6.9,9.05,2.85,-24.81,-26.36,-24.03,-41.86,-34.11,-37.98,-8.53,6.98,-9.3,-5.43,-20.93,6.98,40.31,-55.81,True,True,True,YF,NASDAQ
246,False,2015-09-24,2015-09-22,NEOG,Neogen Corp,Quinlan Steven J.,"VP, CFO",P - Purchase,17.839,1060.0,7867.0,16.0,49998.0,17.16,18.14,20.24,21.47,20.12,17.81,19.52,17.94,18.47,19.67,21.06,21.47,21.9,27.45,-3.81,1.69,13.46,20.35,12.79,-0.16,9.42,0.57,3.54,10.26,18.06,20.35,22.76,53.88,True,True,True,YF,NASDAQ
247,False,2015-09-24,2015-09-22,BIOL,"Biolase, Inc",Dreyer David C,"SVP ,  CFO",P - Purchase,6.45,5000.0,15000.0,50.0,6850.0,4.85,4.75,4.9,3.75,4.25,4.0,5.9,6.9,5.85,6.1,5.1,6.9,9.05,2.85,-24.81,-26.36,-24.03,-41.86,-34.11,-37.98,-8.53,6.98,-9.3,-5.43,-20.93,6.98,40.31,-55.81,True,True,True,YF,NASDAQ
